path,loc,top_level_classes,top_level_funcs,imports_from_lattice,imported_by_count,phase_target,final_path,disposition
src/lattice/transforms/causal_chain.py,192,1,4,lattice.core.context|lattice.core.errors|lattice.core.pipeline|lattice.core.primitives|lattice.core.result|lattice.core.transport,2,-,transforms/causal_chain.py,KEEP
src/lattice/transforms/columnar_pack.py,134,1,2,lattice.core.context|lattice.core.errors|lattice.core.pipeline|lattice.core.result|lattice.core.transport,3,-,transforms/columnar_pack.py,KEEP
src/lattice/transforms/constraint_lifting.py,173,1,1,lattice.core.context|lattice.core.errors|lattice.core.pipeline|lattice.core.primitives|lattice.core.result|lattice.core.transport,2,4b,(deleted if no consumer),DELETE
src/lattice/transforms/content_profiler.py,985,2,9,lattice.core.context|lattice.core.errors|lattice.core.ir_builder|lattice.core.ir_normalizer|lattice.core.optimizer_scheduler|lattice.core.pipeline|lattice.core.primitives|lattice.core.result|lattice.core.runtime_state|lattice.core.semantic_graph|lattice.core.serialization|lattice.core.task_classifier|lattice.core.transform_registry|lattice.core.transport|lattice.core.unified_planner|lattice.planner.execution_plan|lattice.planner.provider_strategy|lattice.protocol.manifest|lattice.protocol.prefix_canonicalization|lattice.transforms.semantic_segmenter|lattice.utils.validation,10,4b,transforms/content_profiler/,SPLIT
src/lattice/transforms/context_selector.py,373,2,3,lattice.core.context|lattice.core.errors|lattice.core.pipeline|lattice.core.result|lattice.core.transport,3,4c,transforms/context_selector.py (submodular-only),KEEP
src/lattice/transforms/delta_encode.py,332,2,0,lattice.core.context|lattice.core.errors|lattice.core.pipeline|lattice.core.result|lattice.core.session|lattice.core.transport,3,-,transforms/delta_encode.py,KEEP
src/lattice/transforms/diagnostic_rle.py,147,1,4,lattice.core.context|lattice.core.errors|lattice.core.pipeline|lattice.core.result|lattice.core.transport,3,-,transforms/diagnostic_rle.py,KEEP
src/lattice/transforms/extractive_compress.py,136,1,1,lattice.core.context|lattice.core.errors|lattice.core.pipeline|lattice.core.result|lattice.core.transport,3,-,transforms/extractive_compress.py,KEEP
src/lattice/transforms/format_conv.py,794,2,0,lattice.core.context|lattice.core.errors|lattice.core.pipeline|lattice.core.primitives|lattice.core.result|lattice.core.transport,10,4b,transforms/format_converter/,SPLIT
src/lattice/transforms/json_shape.py,154,1,2,lattice.core.context|lattice.core.errors|lattice.core.pipeline|lattice.core.result|lattice.core.transport,3,-,transforms/json_shape.py,KEEP
src/lattice/transforms/message_dedup.py,304,1,0,lattice.core.context|lattice.core.errors|lattice.core.pipeline|lattice.core.primitives|lattice.core.result|lattice.core.transport,5,-,transforms/message_dedup.py,KEEP
src/lattice/transforms/output_cleanup.py,160,1,0,lattice.core.context|lattice.core.errors|lattice.core.pipeline|lattice.core.result|lattice.core.transport|lattice.utils.patterns,7,-,transforms/output_cleanup.py,KEEP
src/lattice/transforms/path_prefix.py,158,1,2,lattice.core.context|lattice.core.errors|lattice.core.pipeline|lattice.core.primitives|lattice.core.result|lattice.core.transport,3,-,transforms/path_prefix.py,KEEP
src/lattice/transforms/prefix_opt.py,161,1,0,lattice.core.context|lattice.core.errors|lattice.core.pipeline|lattice.core.primitives|lattice.core.result|lattice.core.runtime_state|lattice.core.transport|lattice.protocol.prefix_canonicalization,7,4b,(deleted — deprecated),DELETE
src/lattice/transforms/rate_distortion.py,216,1,1,lattice.core.context|lattice.core.errors|lattice.core.pipeline|lattice.core.primitives|lattice.core.result|lattice.core.runtime_state|lattice.core.transport|lattice.utils.validation,5,-,transforms/rate_distortion.py,KEEP
src/lattice/transforms/reference_sub.py,497,1,3,lattice.core.context|lattice.core.errors|lattice.core.pipeline|lattice.core.primitives|lattice.core.result|lattice.core.transport|lattice.utils.patterns,9,-,transforms/reference_sub.py,KEEP
src/lattice/transforms/runtime_contract.py,74,1,0,lattice.core.context|lattice.core.errors|lattice.core.pipeline|lattice.core.primitives|lattice.core.result|lattice.core.transport|lattice.runtime.router,3,-,transforms/runtime_contract.py,KEEP
src/lattice/transforms/semantic_segmenter.py,267,2,7,lattice.core.transport,1,1,core/segmentation.py,MOVE
src/lattice/transforms/speculative.py,291,3,0,lattice.core.context|lattice.core.errors|lattice.core.pipeline|lattice.core.result|lattice.core.transport,5,-,transforms/speculative.py,KEEP
src/lattice/transforms/strategy_selector.py,728,2,0,lattice.core.context|lattice.core.errors|lattice.core.pipeline|lattice.core.primitives|lattice.core.result|lattice.core.runtime_state|lattice.core.transport,3,4c,transforms/strategy_selector/ (gated),SPLIT
src/lattice/transforms/tool_filter.py,232,1,0,lattice.core.context|lattice.core.errors|lattice.core.pipeline|lattice.core.primitives|lattice.core.result|lattice.core.transport,9,-,transforms/tool_filter.py,KEEP
